model,annotator,n_images,f1,cpmae
qwen2.5vl:7b,participant_1,48,0.5066273932253313,93.70625
qwen2.5vl:7b,participant_2,28,0.5184227537168715,89.58513189448442
qwen2.5vl:7b,participant_3,34,0.4140969162995594,244.3703703703704
qwen2.5vl:7b,participant_4,22,0.5850654349499614,88.95982142857143
qwen2.5vl:7b,participant_5,8,0.6011560693641618,96.35185185185183
qwen2.5vl:7b,participant_6,60,0.5542377784205959,102.62863534675616
gpt-4o,participant_1,48,0.5404663923182443,78.79861111111111
gpt-4o,participant_2,28,0.5897740784780023,71.1990407673861
gpt-4o,participant_3,34,0.4186991869918698,205.1851851851852
gpt-4o,participant_4,22,0.6062407132243685,80.89136904761905
gpt-4o,participant_5,8,0.6294964028776978,69.89259259259259
gpt-4o,participant_6,60,0.4927937915742794,95.42393736017895
gpt-4.1,participant_1,48,0.5346869712351946,83.04722222222222
gpt-4.1,participant_2,28,0.5686046511627907,74.55755395683454
gpt-4.1,participant_3,34,0.4212523719165085,200.1296296296296
gpt-4.1,participant_4,22,0.5918513223731237,83.01785714285714
gpt-4.1,participant_5,8,0.6666666666666667,75.71481481481482
gpt-4.1,participant_6,60,0.5742895805142084,93.93400447427292
llama3.2-vision:11b,participant_1,48,0.442341395022783,122.12382986111112
llama3.2-vision:11b,participant_2,28,0.4274143302180685,116.16966426858514
llama3.2-vision:11b,participant_3,34,0.2507462686567164,273.85185185185185
llama3.2-vision:11b,participant_4,22,0.5245901639344263,121.00446428571428
llama3.2-vision:11b,participant_5,8,0.4934086629001883,137.60487037037038
llama3.2-vision:11b,participant_6,60,0.4157119476268412,129.8612975391499
