model,temperature,epsilon,n,w0,k,mae_raw,medae_raw,mae_cal_insample,medae_cal_insample,mae_cal_cv,medae_cal_cv
bakllava:7b,0.2,0.5,16,172.94,0.101,113.75,80.5,76.57301973274085,60.097627382341514,90.28493320154102,78.4169516887559
bakllava:7b,0.4,0.5,10,228.14,-0.616,183.9,162.5,87.22429631906834,90.67135975659373,571.2777666475574,148.0702446121087
bakllava:7b,0.6,0.5,17,161.95,-0.018,222.41176470588235,148.0,60.87303977553409,45.92735438861487,76.48941249699834,56.66174911705798
bakllava:7b,0.6,0.6,11,146.3,-0.006,243.0,124.0,52.26545179292645,26.293237191637985,59.12382791228254,29.280530214322624
bakllava:7b,0.8,0.5,13,165.79,-2.638,142.84615384615384,124.0,63.808015242524064,44.15375734676741,92.25952194117798,53.155154771041225
bakllava:7b,1.0,0.5,21,154.55,2.577,177.14285714285714,135.0,95.8080673414113,69.12250767855866,133.81030526653143,73.31670298539984
bakllava:7b,1.0,0.6,12,119.28,4.974,175.58333333333334,97.0,89.80378780442584,64.25894054902986,139.21003403580565,71.42660750654635
gemma3:12b,0.0,0.5,408,74.63,0.674,51.44607843137255,33.0,50.26418723468028,37.07751712881418,50.57704391827491,37.29667654722364
gemma3:12b,0.0,0.6,283,84.15,0.614,53.3922261484099,40.0,47.76981069795521,35.5681067880312,48.17635661894956,35.68427555148929
gemma3:12b,0.0,0.7,201,79.92,0.667,53.527363184079604,40.0,44.68289564155765,33.713203706332195,45.18652951360909,34.155034208886775
gemma3:12b,0.0,0.8,117,83.63,0.529,43.58119658119658,40.0,32.098874521003694,25.79894900571091,32.621716727243694,27.140272895508105
gemma3:12b,0.0,0.9,79,81.79,0.545,44.45569620253165,43.0,31.368352340873663,28.27183889072296,32.01797846853218,28.583312453701694
gemma3:12b,0.2,0.5,414,73.41,0.682,51.28743961352657,33.0,49.905042128560034,36.06593882384558,50.21687972607658,36.14152121728253
gemma3:12b,0.2,0.6,294,80.59,0.653,54.15986394557823,38.5,49.035113117987436,35.54389663130826,49.44314470300432,35.782405782526425
gemma3:12b,0.2,0.7,200,75.52,0.706,53.935,40.0,45.776553421631505,35.13552409051621,46.31187151306185,35.093599009960485
gemma3:12b,0.2,0.8,121,81.4,0.554,43.80165289256198,39.0,32.76261708897886,25.638758082277434,33.271710237697825,25.97117234503986
gemma3:12b,0.2,0.9,80,79.76,0.565,43.9,41.5,31.1705030095545,27.152726499742677,31.779608518960323,27.847598144834485
gemma3:12b,0.4,0.5,417,72.84,0.674,49.726618705035975,31.0,48.97150714421215,36.222283774557155,49.25157675022416,36.32319897979346
gemma3:12b,0.4,0.6,295,80.72,0.635,51.25084745762712,35.0,46.84058916296644,34.0568954001744,47.21981604341762,34.24435420320265
gemma3:12b,0.4,0.7,201,79.04,0.66,50.96517412935324,40.0,42.59786695140805,31.040395049808694,43.06993921463045,31.45876219547091
gemma3:12b,0.4,0.8,120,82.97,0.525,41.9,36.0,31.202472146799582,23.98761103703862,31.668133339236935,24.623618146611996
gemma3:12b,0.4,0.9,81,76.47,0.586,42.34567901234568,40.0,29.419346180557326,22.59411415253848,30.08981506556373,22.79326348083825
gemma3:12b,0.6,0.5,407,75.67,0.673,52.383292383292385,33.0,49.98008357664544,36.43596543830199,50.2593872270161,36.57551075860772
gemma3:12b,0.6,0.6,290,75.6,0.676,52.15172413793103,39.5,45.26078837382742,33.16344085269289,45.624190278059665,33.35865476077891
gemma3:12b,0.6,0.7,196,82.77,0.662,56.1530612244898,44.0,44.60163138148286,33.1077203563504,45.13313408908282,33.55044362351373
gemma3:12b,0.6,0.8,112,90.61,0.482,45.0625,40.5,30.589838603745363,25.779808671119113,31.19705200865775,26.09684397129982
gemma3:12b,0.6,0.9,79,93.13,0.472,46.936708860759495,43.0,31.08843033108223,26.284326496894252,31.91178645810239,27.13461364996843
gemma3:12b,0.8,0.5,405,79.0,0.647,52.745679012345676,34.0,49.30642343210935,36.592730640437196,49.6111137590312,36.672629083192334
gemma3:12b,0.8,0.6,295,77.51,0.661,51.69830508474576,37.0,45.94507041920842,35.07775378013497,46.36191828244197,34.98057400637697
gemma3:12b,0.8,0.7,201,73.4,0.731,53.58706467661692,41.0,43.65227316769764,32.928986205758065,44.187674700824736,33.56885986187541
gemma3:12b,0.8,0.8,116,86.55,0.494,43.206896551724135,39.5,30.817464257736816,24.939069905417625,31.37446919700569,25.02476250728852
gemma3:12b,0.8,0.9,80,90.65,0.495,45.675,40.5,30.56633490507064,24.94271196127815,31.33803303730199,26.650074105371687
gemma3:12b,1.0,0.5,398,77.07,0.637,50.881909547738694,33.0,48.87510292066648,37.335368669352476,49.13982151728557,37.41740015873515
gemma3:12b,1.0,0.6,284,69.06,0.736,51.03521126760563,36.5,45.815584499597,35.08833671665445,46.14341557317582,35.18619786105809
gemma3:12b,1.0,0.7,193,76.03,0.716,53.95336787564767,41.0,44.892807956489655,31.59205320891664,45.33592321496219,31.969865794587548
gemma3:12b,1.0,0.8,112,79.23,0.546,42.544642857142854,40.0,29.874053852494665,23.971271451045965,30.376885211246947,24.351855525068004
