model,category,n_matched,medae,mae,median_rel_err,gt_weight_cv
qwen2.5vl:7b,beverage,205,100.0,95.69268292682926,0.375,0.2143580399330759
qwen2.5vl:7b,bread,497,16.0,25.645875251509054,0.2537313432835821,0.462748906172698
qwen2.5vl:7b,cheese_dairy,47,41.0,54.93617021276596,0.3939393939393939,0.2996607787203571
qwen2.5vl:7b,dessert_yogurt,97,25.0,41.30927835051546,0.2,0.10973281130326341
qwen2.5vl:7b,fish,17,10.0,50.23529411764706,0.09375,0.5127611595061083
qwen2.5vl:7b,fruit,412,47.0,50.63592233009709,0.3150684931506849,0.2284885842846015
qwen2.5vl:7b,legumes,164,41.5,42.079268292682926,0.3127066603684459,0.32471651080738645
qwen2.5vl:7b,meat_protein,182,25.0,34.32967032967033,0.22227822580645162,0.3205479761387231
qwen2.5vl:7b,other,73,53.0,63.54794520547945,0.3464052287581699,0.4168921615227129
qwen2.5vl:7b,pasta_rice_grains,449,58.0,89.41536748329621,0.2857142857142857,0.4824112111020632
qwen2.5vl:7b,potatoes,138,23.5,35.2536231884058,0.24812030075187969,0.34671356199370024
qwen2.5vl:7b,soup,85,94.0,120.0,0.38271604938271603,0.2837455730535313
qwen2.5vl:7b,vegetables,299,40.0,46.13210702341137,0.3006993006993007,0.29936473863147245
gpt-4o,beverage,136,76.0,71.66911764705883,0.2603550295857988,0.2143580399330759
gpt-4o,bread,159,12.0,20.91823899371069,0.21052631578947367,0.462748906172698
gpt-4o,cheese_dairy,82,34.0,34.51219512195122,0.26605504587155965,0.2996607787203571
gpt-4o,dessert_yogurt,310,0.0,3.238709677419355,0.0,0.10973281130326341
gpt-4o,fish,32,15.0,29.71875,0.14285714285714285,0.5127611595061083
gpt-4o,fruit,436,30.0,37.5045871559633,0.1915113871635611,0.2284885842846015
gpt-4o,legumes,175,29.0,36.06857142857143,0.2366412213740458,0.32471651080738645
gpt-4o,meat_protein,197,26.0,33.5736040609137,0.21875,0.3205479761387231
gpt-4o,other,82,43.0,52.3780487804878,0.3258426966292135,0.4168921615227129
gpt-4o,pasta_rice_grains,483,37.0,67.65010351966873,0.19760479041916168,0.4824112111020632
gpt-4o,potatoes,179,24.0,31.435754189944134,0.23076923076923078,0.34671356199370024
gpt-4o,soup,115,44.0,53.643478260869564,0.17370892018779344,0.2837455730535313
gpt-4o,vegetables,371,39.0,43.01078167115903,0.3103448275862069,0.29936473863147245
gpt-4.1,beverage,196,90.0,94.25,0.3127066603684459,0.2143580399330759
gpt-4.1,bread,484,9.0,11.190082644628099,0.15254237288135594,0.462748906172698
gpt-4.1,cheese_dairy,107,45.0,51.6822429906542,0.3577981651376147,0.2996607787203571
gpt-4.1,dessert_yogurt,175,0.0,4.714285714285714,0.0,0.10973281130326341
gpt-4.1,fish,36,29.0,49.0,0.26605504587155965,0.5127611595061083
gpt-4.1,fruit,451,44.0,48.20620842572062,0.29411764705882354,0.2284885842846015
gpt-4.1,legumes,184,32.0,44.69021739130435,0.27927927927927926,0.32471651080738645
gpt-4.1,meat_protein,220,35.5,39.72727272727273,0.29802955665024633,0.3205479761387231
gpt-4.1,other,76,53.0,61.421052631578945,0.3968935888962326,0.4168921615227129
gpt-4.1,pasta_rice_grains,459,40.0,66.38344226579521,0.20704845814977973,0.4824112111020632
gpt-4.1,potatoes,184,26.5,34.266304347826086,0.233219010289074,0.34671356199370024
gpt-4.1,soup,84,63.5,71.19047619047619,0.2345679012345679,0.2837455730535313
gpt-4.1,vegetables,392,47.0,54.41581632653061,0.4,0.29936473863147245
llama3.2-vision:11b,beverage,72,100.0,126.6107638888889,0.30039138943248533,0.2143580399330759
llama3.2-vision:11b,bread,269,10.0,18.124423791821563,0.16666666666666666,0.462748906172698
llama3.2-vision:11b,cheese_dairy,21,46.0,59.665238095238095,0.45054945054945056,0.2996607787203571
llama3.2-vision:11b,dessert_yogurt,60,25.0,29.566666666666666,0.2,0.10973281130326341
llama3.2-vision:11b,fish,4,88.0,99.5,0.4230769230769231,0.5127611595061083
llama3.2-vision:11b,fruit,153,69.0,69.42483660130719,0.4186046511627907,0.2284885842846015
llama3.2-vision:11b,legumes,95,28.0,41.252631578947366,0.20634920634920634,0.32471651080738645
llama3.2-vision:11b,meat_protein,121,35.0,49.570247933884296,0.3181818181818182,0.3205479761387231
llama3.2-vision:11b,other,40,52.25,68.9875,0.4135455680399501,0.4168921615227129
llama3.2-vision:11b,pasta_rice_grains,202,80.5,124.64215346534654,0.4301948051948052,0.4824112111020632
llama3.2-vision:11b,potatoes,79,34.0,44.835443037974684,0.29310344827586204,0.34671356199370024
llama3.2-vision:11b,soup,27,58.0,73.0,0.22448979591836735,0.2837455730535313
llama3.2-vision:11b,vegetables,132,44.0,54.10227272727273,0.36033824331696673,0.29936473863147245
