pair_id,judge,label
P001,rater_2,different
P002,rater_2,partial
P003,rater_2,same
P004,rater_2,same
P005,rater_2,different
P006,rater_2,same
P007,rater_2,same
P008,rater_2,same
P009,rater_2,partial
P010,rater_2,same
P011,rater_2,different
P012,rater_2,different
P013,rater_2,partial
P014,rater_2,same
P015,rater_2,same
P016,rater_2,same
P017,rater_2,different
P018,rater_2,partial
P019,rater_2,same
P020,rater_2,partial
P021,rater_2,partial
P022,rater_2,different
P023,rater_2,same
P024,rater_2,same
P025,rater_2,partial
P026,rater_2,same
P027,rater_2,partial
P028,rater_2,partial
P029,rater_2,different
P030,rater_2,partial
P031,rater_2,different
P032,rater_2,partial
P033,rater_2,different
P034,rater_2,same
P035,rater_2,partial
P036,rater_2,same
P037,rater_2,different
P038,rater_2,partial
P039,rater_2,partial
P040,rater_2,partial
P041,rater_2,same
P042,rater_2,same
P043,rater_2,same
P044,rater_2,partial
P045,rater_2,same
P046,rater_2,same
P047,rater_2,partial
P048,rater_2,same
P049,rater_2,different
P050,rater_2,same
P051,rater_2,different
P052,rater_2,same
P053,rater_2,different
P054,rater_2,same
P055,rater_2,same
P056,rater_2,partial
P057,rater_2,partial
P058,rater_2,different
P059,rater_2,same
P060,rater_2,partial
P061,rater_2,different
P062,rater_2,partial
P063,rater_2,same
P064,rater_2,same
P065,rater_2,same
P066,rater_2,same
P067,rater_2,partial
P068,rater_2,different
P069,rater_2,same
P070,rater_2,different
P071,rater_2,same
P072,rater_2,same
P073,rater_2,different
P074,rater_2,partial
P075,rater_2,same
P076,rater_2,partial
P077,rater_2,different
P078,rater_2,partial
P079,rater_2,partial
P080,rater_2,same
P081,rater_2,partial
P082,rater_2,different
P083,rater_2,different
P084,rater_2,same
P085,rater_2,partial
P086,rater_2,same
P087,rater_2,different
P088,rater_2,partial
P089,rater_2,different
P090,rater_2,partial
P091,rater_2,different
P092,rater_2,different
P093,rater_2,same
P094,rater_2,different
P095,rater_2,same
P096,rater_2,same
P097,rater_2,same
P098,rater_2,different
P099,rater_2,same
P100,rater_2,different
P101,rater_2,same
P102,rater_2,different
P103,rater_2,same
P104,rater_2,partial
P105,rater_2,same
P106,rater_2,same
P107,rater_2,same
P108,rater_2,different
P109,rater_2,same
P110,rater_2,different
P111,rater_2,different
P112,rater_2,same
P113,rater_2,partial
P114,rater_2,different
P115,rater_2,partial
P116,rater_2,same
P117,rater_2,partial
P118,rater_2,same
P119,rater_2,different
P120,rater_2,different
P121,rater_2,different
P122,rater_2,different
P123,rater_2,same
P124,rater_2,different
P125,rater_2,same
P126,rater_2,different
P127,rater_2,same
P128,rater_2,same
P129,rater_2,same
P130,rater_2,same
P131,rater_2,same
P132,rater_2,different
P133,rater_2,same
P134,rater_2,different
P135,rater_2,different
P136,rater_2,same
P137,rater_2,same
P138,rater_2,same
P139,rater_2,different
P140,rater_2,same
P141,rater_2,same
P142,rater_2,partial
P143,rater_2,same
P144,rater_2,different
P145,rater_2,same
P146,rater_2,partial
P147,rater_2,different
P148,rater_2,partial
P149,rater_2,same
P150,rater_2,partial
P151,rater_2,same
P152,rater_2,same
P153,rater_2,partial
P154,rater_2,partial
P155,rater_2,same
P156,rater_2,different
P157,rater_2,same
P158,rater_2,different
P159,rater_2,same
P160,rater_2,partial
P161,rater_2,same
P162,rater_2,different
P163,rater_2,partial
P164,rater_2,same
P165,rater_2,partial
P166,rater_2,partial
P167,rater_2,partial
P168,rater_2,same
P169,rater_2,same
P170,rater_2,same
P171,rater_2,same
P172,rater_2,same
P173,rater_2,partial
P174,rater_2,partial
P175,rater_2,same
P176,rater_2,same
P177,rater_2,partial
P178,rater_2,same
P179,rater_2,different
P180,rater_2,different
P181,rater_2,same
P182,rater_2,different
P183,rater_2,same
P184,rater_2,partial
P185,rater_2,different
P186,rater_2,same
P187,rater_2,partial
P188,rater_2,different
P189,rater_2,different
P190,rater_2,same
P191,rater_2,same
P192,rater_2,same
P193,rater_2,partial
P194,rater_2,partial
P195,rater_2,same
P196,rater_2,same
P197,rater_2,same
P198,rater_2,same
P199,rater_2,same
P200,rater_2,same
P201,rater_2,partial
P202,rater_2,different
P203,rater_2,same
P204,rater_2,partial
P205,rater_2,different
P206,rater_2,different
P207,rater_2,partial
P208,rater_2,partial
P209,rater_2,same
P210,rater_2,different
P211,rater_2,same
P212,rater_2,same
P213,rater_2,same
P214,rater_2,different
P215,rater_2,different
P216,rater_2,different
P217,rater_2,same
P218,rater_2,different
P219,rater_2,different
P220,rater_2,partial
P221,rater_2,same
P222,rater_2,partial
P223,rater_2,same
P224,rater_2,different
P225,rater_2,same
P226,rater_2,partial
P227,rater_2,same
P228,rater_2,different
P229,rater_2,different
P230,rater_2,different
P231,rater_2,same
P232,rater_2,same
P233,rater_2,same
P234,rater_2,same
P235,rater_2,different
P236,rater_2,different
P237,rater_2,same
P238,rater_2,different
P239,rater_2,partial
P240,rater_2,partial
P241,rater_2,same
P242,rater_2,same
P243,rater_2,partial
P244,rater_2,different
P245,rater_2,same
P246,rater_2,same
P247,rater_2,different
P248,rater_2,same
P249,rater_2,different
P250,rater_2,different
P251,rater_2,partial
P252,rater_2,partial
P253,rater_2,different
P254,rater_2,same
P255,rater_2,same
P256,rater_2,same
P257,rater_2,same
P258,rater_2,partial
P259,rater_2,partial
P260,rater_2,same
P261,rater_2,same
P262,rater_2,different
P263,rater_2,same
P264,rater_2,different
P265,rater_2,partial
P266,rater_2,same
P267,rater_2,same
P268,rater_2,different
P269,rater_2,same
P270,rater_2,same
P271,rater_2,same
P272,rater_2,same
P273,rater_2,same
P274,rater_2,different
P275,rater_2,different
P276,rater_2,partial
P277,rater_2,same
P278,rater_2,different
P279,rater_2,same
P280,rater_2,partial
P281,rater_2,same
P282,rater_2,different
P283,rater_2,same
P284,rater_2,different
P285,rater_2,same
P286,rater_2,different
P287,rater_2,different
P288,rater_2,different
P289,rater_2,same
P290,rater_2,same
P291,rater_2,different
P292,rater_2,partial
P293,rater_2,different
P294,rater_2,same
P295,rater_2,partial
P296,rater_2,same
P297,rater_2,different
P298,rater_2,different
P299,rater_2,partial
P300,rater_2,partial
