model,temperature,precision,recall,f1
bakllava:7b,0.0,0.33910891089108913,0.15747126436781608,0.2150706436420722
bakllava:7b,0.2,0.3400900900900901,0.1735632183908046,0.22983257229832574
bakllava:7b,0.4,0.3583959899749373,0.16436781609195403,0.22537431048069348
bakllava:7b,0.6,0.35038363171355497,0.15747126436781608,0.21728786677240286
bakllava:7b,0.8,0.3793103448275862,0.13908045977011493,0.2035323801513877
bakllava:7b,1.0,0.3388888888888889,0.14022988505747128,0.19837398373983742
gemma3:12b,0.0,0.40993788819875776,0.3793103448275862,0.3940298507462686
gemma3:12b,0.2,0.4160493827160494,0.3873563218390805,0.40119047619047615
gemma3:12b,0.4,0.41800246609124536,0.3896551724137931,0.40333135038667456
gemma3:12b,0.6,0.4108241082410824,0.3839080459770115,0.3969102792632205
gemma3:12b,0.8,0.40272614622057,0.3735632183908046,0.38759689922480617
gemma3:12b,1.0,0.4164588528678304,0.3839080459770115,0.3995215311004785
gemma3:4b,0.0,0.42424242424242425,0.2896551724137931,0.34426229508196726
gemma3:4b,0.2,0.4232081911262799,0.2850574712643678,0.34065934065934067
gemma3:4b,0.4,0.4128595600676819,0.28045977011494255,0.3340177960301164
gemma3:4b,0.6,0.412751677852349,0.2827586206896552,0.33560709413369716
gemma3:4b,0.8,0.411864406779661,0.2793103448275862,0.3328767123287671
gemma3:4b,1.0,0.40476190476190477,0.2735632183908046,0.32647462277091904
gpt-4.1,0.0,0.6783068783068783,0.7367816091954023,0.7063360881542698
gpt-4.1,0.2,0.6858974358974359,0.7379310344827587,0.7109634551495017
gpt-4.1,0.4,0.6882978723404255,0.7436781609195402,0.7149171270718233
gpt-4.1,0.6,0.6709401709401709,0.7218390804597701,0.6954595791805094
gpt-4.1,0.8,0.6858974358974359,0.7379310344827587,0.7109634551495017
gpt-4.1,1.0,0.6737513283740701,0.728735632183908,0.7001656543346217
gpt-4o,0.0,0.7064732142857143,0.7275862068965517,0.7168742921857305
gpt-4o,0.2,0.7104377104377104,0.7275862068965517,0.7189097103918227
gpt-4o,0.4,0.6983240223463687,0.7183908045977011,0.7082152974504248
gpt-4o,0.6,0.6941045606229144,0.7172413793103448,0.7054833239118147
gpt-4o,0.8,0.6844444444444444,0.7080459770114943,0.6960451977401131
gpt-4o,1.0,0.681868743047831,0.7045977011494253,0.6930469191633691
gpt-5.2,0.0,0.6217303822937625,0.7103448275862069,0.6630901287553647
gpt-5.2,0.2,0.6086519114688129,0.6954022988505747,0.6491416309012876
gpt-5.2,0.4,0.6104944500504541,0.6954022988505747,0.6501880709296076
gpt-5.2,0.6,0.6066066066066066,0.696551724137931,0.6484751203852327
gpt-5.2,0.8,0.6045816733067729,0.6977011494252874,0.6478121664887941
gpt-5.2,1.0,0.6065737051792829,0.7,0.6499466382070438
granite3.2-vision:2b,0.0,0.38080495356037153,0.1413793103448276,0.20620284995808888
granite3.2-vision:2b,0.2,0.39420289855072466,0.15632183908045977,0.22386831275720168
granite3.2-vision:2b,0.4,0.2631578947368421,0.10919540229885058,0.1543460601137287
granite3.2-vision:2b,0.6,0.32865168539325845,0.13448275862068965,0.1908646003262643
granite3.2-vision:2b,0.8,0.2563291139240506,0.09310344827586207,0.13659359190556492
granite3.2-vision:2b,1.0,0.22318840579710145,0.08850574712643679,0.12674897119341563
llama3.2-vision:11b,0.0,0.5227043390514632,0.5954022988505747,0.5566899516389039
llama3.2-vision:11b,0.2,0.4960238568588469,0.5735632183908046,0.5319829424307037
llama3.2-vision:11b,0.4,0.5433070866141733,0.5551724137931034,0.549175667993178
llama3.2-vision:11b,0.6,0.5408878504672897,0.532183908045977,0.5365005793742759
llama3.2-vision:11b,0.8,0.49580838323353293,0.47586206896551725,0.4856304985337243
llama3.2-vision:11b,1.0,0.45982694684796044,0.42758620689655175,0.44312090530077425
llava-llama3:8b,0.0,0.34432717678100266,0.3,0.3206388206388207
llava-llama3:8b,0.2,0.30451612903225805,0.271264367816092,0.28693009118541035
llava-llama3:8b,0.4,0.33719433719433717,0.30114942528735633,0.31815421979356406
llava-llama3:8b,0.6,0.296010296010296,0.26436781609195403,0.27929568913175473
llava-llama3:8b,0.8,0.2974025974025974,0.2632183908045977,0.27926829268292686
llava-llama3:8b,1.0,0.27261761158021713,0.2597701149425287,0.2660388463802236
llava-phi3:3.8b,0.0,0.4160475482912333,0.3218390804597701,0.36292935839274143
llava-phi3:3.8b,0.2,0.4143484626647145,0.3252873563218391,0.3644558918222795
llava-phi3:3.8b,0.4,0.39807383627608345,0.2850574712643678,0.3322170127260549
llava-phi3:3.8b,0.6,0.38971807628524047,0.27011494252873564,0.3190767141887305
llava-phi3:3.8b,0.8,0.29333333333333333,0.22758620689655173,0.2563106796116505
llava-phi3:3.8b,1.0,0.25696594427244585,0.19080459770114944,0.2189973614775726
llava:13b,0.0,0.379400260756193,0.33448275862068966,0.3555284056200367
llava:13b,0.2,0.3637566137566138,0.3160919540229885,0.33825338253382536
llava:13b,0.4,0.36253369272237196,0.30919540229885056,0.3337468982630273
llava:13b,0.6,0.33073929961089493,0.29310344827586204,0.31078610603290674
llava:13b,0.8,0.31633986928104574,0.27816091954022987,0.2960244648318042
llava:13b,1.0,0.31593038821954483,0.271264367816092,0.29189857761286336
llava:7b,0.0,0.35159235668789807,0.31724137931034485,0.33353474320241694
llava:7b,0.2,0.3396704689480355,0.3080459770114943,0.32308619650391807
