model,temperature,run,precision,recall,f1
claude-sonnet-5,1.0,r1,0.6324,0.7218,0.6742
claude-sonnet-5,1.0,r2,0.6254,0.7253,0.6716
claude-sonnet-5,1.0,r3,0.64,0.7276,0.681
gemma4:12b,0.0,r1,0.4866,0.4598,0.4728
gemma4:12b,0.2,r1,0.4927,0.4678,0.48
gemma4:12b,0.4,r1,0.4766,0.4805,0.4785
gemma4:12b,0.6,r1,0.4626,0.4552,0.4589
gemma4:12b,0.8,r1,0.4724,0.4621,0.4672
gemma4:12b,1.0,r1,0.471,0.4862,0.4785
gemma4:e4b,0.0,r1,0.4034,0.3839,0.3934
gemma4:e4b,0.2,r1,0.4148,0.3862,0.4
gemma4:e4b,0.4,r1,0.4165,0.3954,0.4057
gemma4:e4b,0.6,r1,0.3923,0.3724,0.3821
gemma4:e4b,0.8,r1,0.4076,0.3805,0.3936
gemma4:e4b,1.0,r1,0.4072,0.3782,0.3921
gpt-5.5,1.0,r1,0.6007,0.7437,0.6646
gpt-5.5,1.0,r2,0.576,0.723,0.6412
gpt-5.5,1.0,r3,0.589,0.7414,0.6565
llama3.2-vision:11b,0.6,r1,0.5425,0.4839,0.5115
llama3.2-vision:11b,0.6,r2,0.5123,0.4793,0.4952
llama3.2-vision:11b,0.6,r3,0.4753,0.4747,0.475
minicpm-v4.5:8b,0.0,r1,0.6129,0.677,0.6434
minicpm-v4.5:8b,0.2,r1,0.5994,0.6586,0.6276
minicpm-v4.5:8b,0.4,r1,0.584,0.6552,0.6176
minicpm-v4.5:8b,0.6,r1,0.5903,0.6575,0.6221
minicpm-v4.5:8b,0.8,r1,0.552,0.6161,0.5823
minicpm-v4.5:8b,1.0,r1,0.5649,0.6299,0.5957
minicpm-v4.6,0.0,r1,0.5517,0.3621,0.4372
minicpm-v4.6,0.2,r1,0.5322,0.3517,0.4235
minicpm-v4.6,0.4,r1,0.5496,0.3563,0.4324
minicpm-v4.6,0.6,r1,0.5636,0.4379,0.4929
minicpm-v4.6,0.8,r1,0.5624,0.3885,0.4596
minicpm-v4.6,1.0,r1,0.5537,0.3736,0.4461
minicpm-v:8b,0.6,r1,0.4791,0.4092,0.4414
minicpm-v:8b,0.6,r2,0.4534,0.3862,0.4171
minicpm-v:8b,0.6,r3,0.4679,0.3943,0.4279
qwen2.5vl:7b,0.0,rdet,0.6345,0.5531,0.591
qwen2.5vl:7b,0.6,r1,0.6024,0.5782,0.59
qwen2.5vl:7b,0.6,r2,0.6146,0.592,0.603
qwen2.5vl:7b,0.6,r3,0.5887,0.5609,0.5745
qwen3.5:4b,0.0,r1,0.6019,0.5736,0.5874
qwen3.5:4b,0.2,r1,0.587,0.5586,0.5724
qwen3.5:4b,0.4,r1,0.5832,0.5517,0.567
qwen3.5:4b,0.6,r1,0.5449,0.5161,0.5301
qwen3.5:4b,0.8,r1,0.5564,0.5218,0.5386
qwen3.5:4b,1.0,r1,0.5233,0.4908,0.5065
qwen3.5:9b,0.0,r1,0.6266,0.6655,0.6455
qwen3.5:9b,0.2,r1,0.6414,0.6805,0.6603
qwen3.5:9b,0.4,r1,0.6303,0.6701,0.6496
qwen3.5:9b,0.6,r1,0.6061,0.6402,0.6227
qwen3.5:9b,0.8,r1,0.5807,0.6161,0.5979
qwen3.5:9b,1.0,r1,0.5871,0.608,0.5974
