model,temperature,run,epsilon,tp,fp,fn,precision,recall,f1,n_matched_w,mae,medae,rmse,mape,nmae_legacy,cpmae
claude-sonnet-5,1.0,r1,0.5,658,335,212,0.6626,0.7563,0.7064,654,39.27,21.0,69.94,23.2,61.55,69.89
claude-sonnet-5,1.0,r1,0.6,433,560,437,0.4361,0.4977,0.4648,432,40.46,24.0,71.13,24.55,85.04,93.34
claude-sonnet-5,1.0,r1,0.7,250,743,620,0.2518,0.2874,0.2684,250,42.85,25.0,77.99,24.19,104.24,117.3
claude-sonnet-5,1.0,r1,0.8,132,861,738,0.1329,0.1517,0.1417,132,35.96,23.0,64.6,22.38,114.88,133.81
claude-sonnet-5,1.0,r1,0.9,55,938,815,0.0554,0.0632,0.059,55,34.33,27.0,45.04,24.24,123.01,144.45
claude-sonnet-5,1.0,r2,0.5,645,364,225,0.6392,0.7414,0.6865,643,40.38,20.0,71.64,23.14,63.5,69.99
claude-sonnet-5,1.0,r2,0.6,420,589,450,0.4163,0.4828,0.447,420,40.35,24.0,67.36,24.58,86.2,94.71
claude-sonnet-5,1.0,r2,0.7,258,751,612,0.2557,0.2966,0.2746,258,41.01,25.5,69.12,24.19,102.91,116.56
claude-sonnet-5,1.0,r2,0.8,130,879,740,0.1288,0.1494,0.1384,130,32.28,23.0,50.45,22.04,114.55,134.71
claude-sonnet-5,1.0,r2,0.9,59,950,811,0.0585,0.0678,0.0628,59,31.47,24.0,42.58,23.02,122.39,143.98
claude-sonnet-5,1.0,r3,0.5,644,345,226,0.6512,0.7402,0.6928,641,39.41,19.0,70.34,23.32,62.99,72.48
claude-sonnet-5,1.0,r3,0.6,405,584,465,0.4095,0.4655,0.4357,404,40.38,23.0,72.91,24.05,87.85,97.87
claude-sonnet-5,1.0,r3,0.7,243,746,627,0.2457,0.2793,0.2614,242,41.15,25.0,71.42,24.3,104.56,119.19
claude-sonnet-5,1.0,r3,0.8,135,854,735,0.1365,0.1552,0.1452,135,33.27,22.0,47.87,22.02,114.15,133.72
claude-sonnet-5,1.0,r3,0.9,62,927,808,0.0627,0.0713,0.0667,62,29.39,20.5,40.53,20.45,121.9,143.26
gemma4:12b,0.0,r1,0.5,441,381,429,0.5365,0.5069,0.5213,441,51.12,30.0,84.66,36.66,89.52,101.57
gemma4:12b,0.0,r1,0.6,284,538,586,0.3455,0.3264,0.3357,284,60.52,40.0,96.38,39.09,106.65,113.4
gemma4:12b,0.0,r1,0.7,183,639,687,0.2226,0.2103,0.2163,183,59.15,38.0,101.52,33.8,114.31,125.03
gemma4:12b,0.0,r1,0.8,91,731,779,0.1107,0.1046,0.1076,91,46.31,34.0,63.81,37.66,120.35,142.15
gemma4:12b,0.0,r1,0.9,53,769,817,0.0645,0.0609,0.0626,53,49.77,34.0,72.28,38.95,124.17,146.1
gemma4:12b,0.2,r1,0.5,444,382,426,0.5375,0.5103,0.5236,444,50.61,27.5,84.58,36.01,89.0,101.52
gemma4:12b,0.2,r1,0.6,281,545,589,0.3402,0.323,0.3314,281,57.93,40.0,92.8,36.37,106.04,113.61
gemma4:12b,0.2,r1,0.7,182,644,688,0.2203,0.2092,0.2146,182,58.6,40.0,100.61,34.48,114.27,126.23
gemma4:12b,0.2,r1,0.8,88,738,782,0.1065,0.1011,0.1038,88,40.69,28.0,55.87,32.93,120.07,141.36
gemma4:12b,0.2,r1,0.9,54,772,816,0.0654,0.0621,0.0637,54,38.61,26.5,50.85,31.34,123.39,145.03
gemma4:12b,0.4,r1,0.5,459,418,411,0.5234,0.5276,0.5255,458,51.08,33.0,81.45,37.35,87.98,102.33
gemma4:12b,0.4,r1,0.6,295,582,575,0.3364,0.3391,0.3377,295,58.36,42.0,86.55,38.36,105.05,114.16
gemma4:12b,0.4,r1,0.7,189,688,681,0.2155,0.2172,0.2164,189,56.16,41.0,81.61,37.34,113.18,127.39
gemma4:12b,0.4,r1,0.8,96,781,774,0.1095,0.1103,0.1099,96,42.48,34.0,57.22,34.68,119.45,141.29
gemma4:12b,0.4,r1,0.9,50,827,820,0.057,0.0575,0.0572,50,48.58,35.0,66.75,36.73,124.38,146.33
gemma4:12b,0.6,r1,0.5,445,411,425,0.5199,0.5115,0.5156,445,49.81,30.0,80.02,37.96,88.5,102.06
gemma4:12b,0.6,r1,0.6,294,562,576,0.3435,0.3379,0.3407,294,56.7,40.0,87.17,36.95,104.57,112.33
gemma4:12b,0.6,r1,0.7,192,664,678,0.2243,0.2207,0.2225,192,55.02,36.5,90.56,32.56,112.67,124.54
gemma4:12b,0.6,r1,0.8,96,760,774,0.1121,0.1103,0.1112,96,42.56,30.5,65.05,31.26,119.46,140.24
gemma4:12b,0.6,r1,0.9,60,796,810,0.0701,0.069,0.0695,60,39.0,28.5,52.47,27.73,122.79,144.16
gemma4:12b,0.8,r1,0.5,452,399,418,0.5311,0.5195,0.5253,452,48.84,33.0,76.65,38.36,87.36,101.17
gemma4:12b,0.8,r1,0.6,297,554,573,0.349,0.3414,0.3451,297,54.62,39.0,84.95,36.35,103.61,111.08
gemma4:12b,0.8,r1,0.7,192,659,678,0.2256,0.2207,0.2231,192,53.66,37.0,87.47,34.94,112.37,124.5
gemma4:12b,0.8,r1,0.8,98,753,772,0.1152,0.1126,0.1139,98,45.77,35.5,61.63,36.85,119.62,140.8
gemma4:12b,0.8,r1,0.9,52,799,818,0.0611,0.0598,0.0604,52,43.83,31.0,64.16,33.12,123.91,145.41
gemma4:12b,1.0,r1,0.5,464,434,406,0.5167,0.5333,0.5249,464,51.96,36.0,81.54,40.04,87.91,101.28
gemma4:12b,1.0,r1,0.6,298,600,572,0.3318,0.3425,0.3371,298,59.18,43.0,88.8,40.77,105.08,114.22
gemma4:12b,1.0,r1,0.7,196,702,674,0.2183,0.2253,0.2217,196,60.23,44.0,93.9,40.9,113.51,126.56
gemma4:12b,1.0,r1,0.8,97,801,773,0.108,0.1115,0.1097,97,51.18,42.0,65.86,40.64,120.32,141.65
gemma4:12b,1.0,r1,0.9,50,848,820,0.0557,0.0575,0.0566,50,48.84,39.5,63.96,31.69,124.39,145.68
gemma4:e4b,0.0,r1,0.5,315,513,555,0.3804,0.3621,0.371,315,63.61,47.0,98.18,58.51,105.32,123.07
