epsilon,reference,model,ref_T,model_T,delta_f1_mean,delta_f1_lo,delta_f1_hi,p_ref_better
0.5,qwen2.5vl:7b,bakllava:7b,0.0,0.2,0.40168582929460955,0.35499404119706657,0.4467081930360799,1.0
0.5,qwen2.5vl:7b,gemma3:12b,0.0,0.4,0.17382051237248425,0.13768418283987424,0.21056558581505763,1.0
0.5,qwen2.5vl:7b,gemma3:4b,0.0,0.6,0.263448328011434,0.22821977199882013,0.29974237904131973,1.0
0.5,qwen2.5vl:7b,gpt-4.1,0.0,0.4,-0.06773318403327974,-0.10146562620540907,-0.03389259046361492,0.0
0.5,qwen2.5vl:7b,gpt-4o,0.0,0.2,-0.09113688268017267,-0.12057165641813371,-0.06040166372380144,0.0
0.5,qwen2.5vl:7b,gpt-5.2,0.0,0.0,0.013926447558127726,-0.020607239552848135,0.04926744672366605,0.7755
0.5,qwen2.5vl:7b,granite3.2-vision:2b,0.0,0.2,0.41230900909455237,0.37423458050203334,0.45223972622489067,1.0
0.5,qwen2.5vl:7b,llama3.2-vision:11b,0.0,0.0,0.08272737429869147,0.04455857715593564,0.11909600769557886,1.0
0.5,qwen2.5vl:7b,llava-llama3:8b,0.0,0.4,0.33141794052066,0.29733359277924737,0.36466877009130755,1.0
0.5,qwen2.5vl:7b,llava-phi3:3.8b,0.0,0.0,0.2667381156721893,0.22753374506245166,0.30600446182151714,1.0
0.5,qwen2.5vl:7b,llava:13b,0.0,0.2,0.25979064971981985,0.22243740479709714,0.2979972630878152,1.0
0.5,qwen2.5vl:7b,llava:7b,0.0,0.2,0.2847197907665494,0.2470538754086974,0.32204470472704716,1.0
0.5,qwen2.5vl:7b,minicpm-v:8b,0.0,0.0,0.1123878145967752,0.07936881301343172,0.1448353737073174,1.0
0.5,qwen2.5vl:7b,ministral-3:14b,0.0,0.6,0.25404818490839914,0.21896479905539998,0.290686587572599,1.0
0.5,qwen2.5vl:7b,ministral-3:3b,0.0,0.0,0.24805004163441427,0.21279465960225752,0.2824863701449279,1.0
0.5,qwen2.5vl:7b,ministral-3:8b,0.0,0.2,0.20642315545521314,0.17137368753273785,0.24295163667117112,1.0
0.5,qwen2.5vl:7b,mistral-small3.1:24b,0.0,0.2,0.13846201681029566,0.1031771987075346,0.17462495671132816,1.0
0.5,qwen2.5vl:7b,moondream:1.8b,0.0,0.8,0.3373059703922102,0.29727234142590114,0.37514832688990873,1.0
0.5,qwen2.5vl:7b,qwen2.5vl:3b,0.0,0.0,0.15531009292284434,0.11175426446623113,0.2062518027976136,1.0
0.5,qwen2.5vl:7b,qwen3-vl:2b,0.0,1.0,0.23953869412213397,0.19617710206044447,0.28170987893669625,1.0
0.5,qwen2.5vl:7b,qwen3-vl:4b,0.0,0.8,0.19475215658529424,0.14571162177068342,0.2433942898002436,1.0
0.5,qwen2.5vl:7b,qwen3-vl:8b,0.0,0.2,0.1797370486933328,0.13560914806757926,0.22404105664712842,1.0
0.5,gpt-4o,bakllava:7b,0.2,0.2,0.4928227119747822,0.4502351087018357,0.5351422078851346,1.0
