model,temperature,epsilon,n_matched_with_weight,n_missed,mae,medae,nmae_legacy,cpmae,cpmae_fp
bakllava:7b,0.0,0.5,7,863,134.14285714285714,103.0,129.04137931034484,151.36896551724138,151.83448275862068
bakllava:7b,0.0,0.6,4,866,66.25,73.0,128.71149425287356,151.4873563218391,152.0712643678161
bakllava:7b,0.0,0.7,4,866,66.25,73.0,128.71149425287356,151.4873563218391,152.0712643678161
bakllava:7b,0.0,0.8,4,866,66.25,73.0,128.71149425287356,151.4873563218391,152.0712643678161
bakllava:7b,0.0,0.9,2,868,48.0,48.0,128.81379310344826,151.60344827586206,152.30344827586208
bakllava:7b,0.2,0.5,16,854,113.75,80.5,128.71954022988507,150.56666666666666,154.63563218390806
bakllava:7b,0.2,0.6,6,864,84.66666666666667,35.0,128.69425287356322,151.3793103448276,156.77816091954023
bakllava:7b,0.2,0.7,5,865,96.6,44.0,128.81379310344826,151.49425287356323,157.0655172413793
bakllava:7b,0.2,0.8,2,868,35.0,35.0,128.783908045977,151.72528735632184,157.52758620689656
bakllava:7b,0.2,0.9,0,870,,,129.0,151.85402298850576,157.88620689655173
bakllava:7b,0.4,0.5,10,860,183.9,162.5,129.63103448275862,151.76206896551724,154.15402298850574
bakllava:7b,0.4,0.6,5,865,178.6,117.0,129.28505747126437,151.70919540229886,154.62298850574712
bakllava:7b,0.4,0.7,4,866,130.0,83.5,129.00459770114944,151.7103448275862,154.62528735632185
bakllava:7b,0.4,0.8,3,867,57.0,50.0,128.75172413793103,151.71149425287356,154.62758620689655
bakllava:7b,0.4,0.9,3,867,57.0,50.0,128.75172413793103,151.71149425287356,154.62758620689655
bakllava:7b,0.6,0.5,17,853,222.41176470588235,148.0,130.82528735632184,153.07011494252873,154.0390804597701
bakllava:7b,0.6,0.6,11,859,243.0,124.0,130.44137931034481,153.08850574712645,154.0758620689655
bakllava:7b,0.6,0.7,8,862,277.375,135.5,130.36436781609194,153.25402298850574,154.416091954023
bakllava:7b,0.6,0.8,5,865,342.8,115.0,130.2287356321839,153.2574712643678,154.42298850574713
bakllava:7b,0.6,0.9,1,869,115.0,115.0,128.98390804597702,151.8528735632184,154.7471264367816
bakllava:7b,0.8,0.5,13,857,142.84615384615384,124.0,129.20689655172413,151.75977011494254,151.95402298850576
bakllava:7b,0.8,0.6,5,865,101.2,118.0,128.84022988505748,151.83793103448275,152.1103448275862
bakllava:7b,0.8,0.7,3,867,135.0,124.0,129.02068965517242,151.8505747126437,152.13563218390806
bakllava:7b,0.8,0.8,2,868,140.5,140.5,129.0264367816092,151.85172413793103,152.13793103448276
bakllava:7b,0.8,0.9,1,869,163.0,163.0,129.0390804597701,151.8528735632184,152.14022988505747
bakllava:7b,1.0,0.5,21,849,177.14285714285714,135.0,130.16206896551725,151.5080459770115,153.41379310344828
bakllava:7b,1.0,0.6,12,858,175.58333333333334,97.0,129.6425287356322,151.65862068965518,153.71494252873563
bakllava:7b,1.0,0.7,9,861,202.88888888888889,99.0,129.76436781609195,151.6632183908046,153.72413793103448
bakllava:7b,1.0,0.8,6,864,86.66666666666667,78.0,128.7080459770115,151.7816091954023,153.9609195402299
bakllava:7b,1.0,0.9,0,870,,,129.0,151.85402298850576,154.10574712643677
gemma3:12b,0.0,0.5,408,462,51.44607843137255,33.0,92.62988505747127,103.84712643678161,148.3505747126437
gemma3:12b,0.0,0.6,283,587,53.3922261484099,40.0,104.40574712643678,117.94942528735632,178.59655172413792
gemma3:12b,0.0,0.7,201,669,53.527363184079604,40.0,111.5632183908046,126.71954022988506,197.7574712643678
gemma3:12b,0.0,0.8,117,753,43.58119658119658,40.0,117.51264367816091,138.45862068965516,222.8816091954023
gemma3:12b,0.0,0.9,79,791,44.45569620253165,43.0,121.32298850574712,143.10229885057473,232.83563218390805
gemma3:12b,0.2,0.5,414,456,51.28743961352657,33.0,92.01954022988505,103.51034482758621,147.64022988505747
gemma3:12b,0.2,0.6,294,576,54.15986394557823,38.5,103.70919540229885,116.91379310344827,176.69310344827585
gemma3:12b,0.2,0.7,200,670,53.935,40.0,111.74367816091954,127.14367816091954,198.79655172413794
gemma3:12b,0.2,0.8,121,749,43.80165289256198,39.0,117.15057471264367,138.09655172413792,222.30689655172415
gemma3:12b,0.2,0.9,80,790,43.9,41.5,121.17471264367816,142.92988505747127,232.58275862068965
gemma3:12b,0.4,0.5,417,453,49.726618705035975,31.0,91.00344827586207,103.20459770114942,147.3873563218391
gemma3:12b,0.4,0.6,295,575,51.25084745762712,35.0,102.6367816091954,116.39770114942529,176.24942528735633
gemma3:12b,0.4,0.7,201,669,50.96517412935324,40.0,110.97126436781609,126.56896551724138,198.0264367816092
gemma3:12b,0.4,0.8,120,750,41.9,36.0,116.98620689655172,138.04367816091954,222.47241379310344
gemma3:12b,0.4,0.9,81,789,42.34567901234568,40.0,120.93218390804597,142.7816091954023,232.65862068965518
gemma3:12b,0.6,0.5,407,463,52.383292383292385,33.0,93.15747126436781,104.3896551724138,148.65402298850574
gemma3:12b,0.6,0.6,290,580,52.15172413793103,39.5,103.38390804597701,117.32413793103449,176.42183908045976
gemma3:12b,0.6,0.7,196,674,56.1530612244898,44.0,112.58850574712643,127.41724137931034,198.20114942528735
gemma3:12b,0.6,0.8,112,758,45.0625,40.5,118.19425287356322,139.24597701149426,223.88620689655173
gemma3:12b,0.6,0.9,79,791,46.936708860759495,43.0,121.54827586206896,143.18045977011494,232.3206896551724
gemma3:12b,0.8,0.5,405,465,52.745679012345676,34.0,93.50229885057472,104.52068965517242,149.01379310344828
gemma3:12b,0.8,0.6,295,575,51.69830508474576,37.0,102.78850574712644,116.43563218390804,174.85977011494253
gemma3:12b,0.8,0.7,201,669,53.58706467661692,41.0,111.57701149425287,126.45977011494253,196.7655172413793
gemma3:12b,0.8,0.8,116,754,43.206896551724135,39.5,117.56091954022989,138.79655172413794,222.8551724137931
gemma3:12b,0.8,0.9,80,790,45.675,40.5,121.33793103448276,142.8873563218391,231.91724137931035
gemma3:12b,1.0,0.5,398,472,50.881909547738694,33.0,93.2632183908046,106.53333333333333,152.68045977011494
gemma3:12b,1.0,0.6,284,586,51.03521126760563,36.5,103.54942528735633,117.55402298850575,177.41379310344828
gemma3:12b,1.0,0.7,193,677,53.95336787564767,41.0,112.35172413793103,127.20459770114942,198.0758620689655
gemma3:12b,1.0,0.8,112,758,42.544642857142854,40.0,117.87011494252873,139.28275862068966,223.36091954022987
gemma3:12b,1.0,0.9,81,789,45.41975308641975,43.0,121.2183908045977,143.01609195402298,231.4735632183908
gemma3:4b,0.0,0.5,295,575,68.44067796610169,50.0,108.46551724137932,116.7551724137931,150.0954022988506
gemma3:4b,0.0,0.6,227,643,67.70484581497797,51.0,113.00689655172414,124.56666666666666,166.92988505747127
gemma3:4b,0.0,0.7,166,704,58.57831325301205,49.0,115.5632183908046,131.09885057471266,180.52528735632183
gemma3:4b,0.0,0.8,98,772,58.39795918367347,46.0,121.04712643678161,141.66551724137932,202.81034482758622
