epsilon,model,p_best_f1_open,p_best_cpmae_open
0.5,bakllava:7b,0.0,0.0
0.5,gemma3:12b,0.0,0.0
0.5,gemma3:4b,0.0,0.0
0.5,granite3.2-vision:2b,0.0,0.0
0.5,llama3.2-vision:11b,0.0,0.0
0.5,llava-llama3:8b,0.0,0.0
0.5,llava-phi3:3.8b,0.0,0.0
0.5,llava:13b,0.0,0.0
0.5,llava:7b,0.0,0.0
0.5,minicpm-v:8b,0.0,0.0
0.5,ministral-3:14b,0.0,0.0
0.5,ministral-3:3b,0.0,0.0
0.5,ministral-3:8b,0.0,0.0
0.5,mistral-small3.1:24b,0.0,0.0015
0.5,moondream:1.8b,0.0,0.0
0.5,qwen2.5vl:3b,0.0,0.0
0.5,qwen2.5vl:7b,1.0,0.9985
0.5,qwen3-vl:2b,0.0,0.0
0.5,qwen3-vl:4b,0.0,0.0
0.5,qwen3-vl:8b,0.0,0.0
0.6,bakllava:7b,0.0,0.0
0.6,gemma3:12b,0.0,0.0
0.6,gemma3:4b,0.0,0.0
0.6,granite3.2-vision:2b,0.0,0.0
0.6,llama3.2-vision:11b,0.0,0.0
0.6,llava-llama3:8b,0.0,0.0
0.6,llava-phi3:3.8b,0.0,0.0
0.6,llava:13b,0.0,0.0
0.6,llava:7b,0.0,0.0
0.6,minicpm-v:8b,0.0,0.0
0.6,ministral-3:14b,0.0,0.0
0.6,ministral-3:3b,0.0,0.0
0.6,ministral-3:8b,0.0,0.0
0.6,mistral-small3.1:24b,0.0,0.0
0.6,moondream:1.8b,0.0,0.0
0.6,qwen2.5vl:3b,0.0,0.0
0.6,qwen2.5vl:7b,1.0,1.0
0.6,qwen3-vl:2b,0.0,0.0
0.6,qwen3-vl:4b,0.0,0.0
0.6,qwen3-vl:8b,0.0,0.0
0.7,bakllava:7b,0.0,0.0
0.7,gemma3:12b,0.0,0.0
0.7,gemma3:4b,0.0,0.0
0.7,granite3.2-vision:2b,0.0,0.0
0.7,llama3.2-vision:11b,0.0,0.0
0.7,llava-llama3:8b,0.0,0.0
0.7,llava-phi3:3.8b,0.0,0.0
0.7,llava:13b,0.0,0.0
0.7,llava:7b,0.0,0.0
0.7,minicpm-v:8b,0.0,0.0
0.7,ministral-3:14b,0.0,0.0
0.7,ministral-3:3b,0.0,0.0
0.7,ministral-3:8b,0.0,0.0
0.7,mistral-small3.1:24b,0.0,0.059
0.7,moondream:1.8b,0.0,0.0
0.7,qwen2.5vl:3b,0.0,0.0
0.7,qwen2.5vl:7b,1.0,0.941
0.7,qwen3-vl:2b,0.0,0.0
0.7,qwen3-vl:4b,0.0,0.0
0.7,qwen3-vl:8b,0.0,0.0
0.8,bakllava:7b,0.0,0.0
0.8,gemma3:12b,0.0,0.0
0.8,gemma3:4b,0.0,0.0
0.8,granite3.2-vision:2b,0.0,0.0
0.8,llama3.2-vision:11b,0.003,0.0
0.8,llava-llama3:8b,0.0,0.0
0.8,llava-phi3:3.8b,0.0,0.0
0.8,llava:13b,0.0,0.0
0.8,llava:7b,0.0,0.0
0.8,minicpm-v:8b,0.0,0.0
0.8,ministral-3:14b,0.0,0.0
0.8,ministral-3:3b,0.0,0.0
0.8,ministral-3:8b,0.0,0.0
0.8,mistral-small3.1:24b,0.0,0.011
0.8,moondream:1.8b,0.0,0.0
0.8,qwen2.5vl:3b,0.0,0.0
0.8,qwen2.5vl:7b,0.997,0.989
0.8,qwen3-vl:2b,0.0,0.0
0.8,qwen3-vl:4b,0.0,0.0
0.8,qwen3-vl:8b,0.0,0.0
0.9,bakllava:7b,0.0,0.0
0.9,gemma3:12b,0.0,0.0
0.9,gemma3:4b,0.0,0.0
0.9,granite3.2-vision:2b,0.0,0.0
0.9,llama3.2-vision:11b,0.0,0.0
0.9,llava-llama3:8b,0.0,0.0
0.9,llava-phi3:3.8b,0.0,0.0
0.9,llava:13b,0.0,0.0
0.9,llava:7b,0.0,0.0
0.9,minicpm-v:8b,0.0,0.0
0.9,ministral-3:14b,0.0,0.0
0.9,ministral-3:3b,0.0,0.0
0.9,ministral-3:8b,0.0,0.0
0.9,mistral-small3.1:24b,0.0,0.1525
0.9,moondream:1.8b,0.0,0.0
0.9,qwen2.5vl:3b,0.0,0.0
0.9,qwen2.5vl:7b,1.0,0.8475
0.9,qwen3-vl:2b,0.0,0.0
0.9,qwen3-vl:4b,0.0,0.0
0.9,qwen3-vl:8b,0.0,0.0
