model,temperature,epsilon,n_images_repaired,f1_all,f1_nonrepaired_only,f1_repaired_only
bakllava:7b,0.0,0.5,99,0.25745682888540034,0.17985611510791366,0.31754874651810583
bakllava:7b,0.0,0.6,99,0.17896389324960754,0.12230215827338128,0.22284122562674097
bakllava:7b,0.0,0.7,99,0.09576138147566719,0.0683453237410072,0.11699164345403901
bakllava:7b,0.0,0.8,99,0.06279434850863423,0.03237410071942446,0.08635097493036212
bakllava:7b,0.0,0.9,99,0.018838304552590265,0.01079136690647482,0.025069637883008356
bakllava:7b,0.2,0.5,99,0.2831050228310502,0.25333333333333335,0.30812324929971985
bakllava:7b,0.2,0.6,99,0.18264840182648404,0.16666666666666666,0.19607843137254902
bakllava:7b,0.2,0.7,99,0.10197869101978692,0.09000000000000002,0.11204481792717087
bakllava:7b,0.2,0.8,99,0.060882800608828,0.03666666666666667,0.08123249299719888
bakllava:7b,0.2,0.9,99,0.016742770167427697,0.01,0.02240896358543417
bakllava:7b,0.4,0.5,100,0.2553191489361702,0.18661971830985913,0.3109843081312411
bakllava:7b,0.4,0.6,100,0.17494089834515367,0.1267605633802817,0.21398002853067047
bakllava:7b,0.4,0.7,100,0.11505122143420016,0.08098591549295775,0.14265335235378035
bakllava:7b,0.4,0.8,100,0.08037825059101654,0.04929577464788732,0.10556348074179744
bakllava:7b,0.4,0.9,100,0.025216706067769896,0.0176056338028169,0.03138373751783167
bakllava:7b,0.6,0.5,94,0.24425059476605873,0.15465729349736376,0.3179190751445086
bakllava:7b,0.6,0.6,94,0.1681205392545599,0.0984182776801406,0.2254335260115607
bakllava:7b,0.6,0.7,94,0.11578112609040445,0.03866432337434094,0.1791907514450867
bakllava:7b,0.6,0.8,94,0.08406026962727994,0.028119507908611598,0.13005780346820808
bakllava:7b,0.6,0.9,94,0.022204599524187154,0.01054481546572935,0.03179190751445086
bakllava:7b,0.8,0.5,86,0.25735912531539107,0.21428571428571427,0.3036649214659686
bakllava:7b,0.8,0.6,86,0.1665264928511354,0.1396103896103896,0.1954624781849913
bakllava:7b,0.8,0.7,86,0.10933557611438184,0.07792207792207792,0.1431064572425829
bakllava:7b,0.8,0.8,86,0.08074011774600504,0.05194805194805195,0.11169284467713786
bakllava:7b,0.8,0.9,86,0.02691337258200168,0.025974025974025976,0.027923211169284465
bakllava:7b,1.0,0.5,90,0.22601626016260162,0.1433447098976109,0.30124223602484473
bakllava:7b,1.0,0.6,90,0.15447154471544716,0.09556313993174062,0.20807453416149066
bakllava:7b,1.0,0.7,90,0.1024390243902439,0.0546075085324232,0.14596273291925466
bakllava:7b,1.0,0.8,90,0.0845528455284553,0.04436860068259386,0.12111801242236023
bakllava:7b,1.0,0.9,90,0.021138211382113824,0.00341296928327645,0.037267080745341616
