image,food,portion
001.jpg,Vegetable soup,266.0
001.jpg,Bread,58.0
001.jpg,Fruit yogurt,125.0
001.jpg,Legume and cheese burger with tomato on top,145.0
001.jpg,Cauliflower,90.0
001.jpg,Water,338.0
002.jpg,"Mixed salad with tomatoes, cucumbers, radicchio",160.0
003.jpg,Bread,58.0
003.jpg,Pasta with tomatoes,151.0
003.jpg,Broccoli,161.0
003.jpg,Ricotta with vegetables (courgette and eggplant),110.0
003.jpg,Water,338.0
004.jpg,Bread,59.0
004.jpg,"Mixed salad with lettuce, tomatoes, tuna, black olives and mozzarella",232.0
004.jpg,Banana,116.0
005.jpg,Bread,58.0
005.jpg,Fruit yogurt,125.0
005.jpg,Pumpkin soup,241.0
005.jpg,Baked potatoes,120.0
005.jpg,Chicken nuggets,110.0
006.jpg,Bread,58.0
006.jpg,Fruit yogurt,125.0
006.jpg,Pasta with peas,204.0
006.jpg,Zucchini,117.0
006.jpg,Potato cake with egg,183.0
006.jpg,Water,338.0
007.jpg,Bread,55.0
007.jpg,Fruit yogurt,125.0
007.jpg,Chickpea soup,201.0
007.jpg,Fish cutlet,73.0
007.jpg,Mixed salad with carrots,66.0
008.jpg,Bread,57.0
008.jpg,Cherry yogurt,125.0
008.jpg,Vegetable soup,225.0
008.jpg,Vegetable meatballs,130.0
008.jpg,Fennel salad,167.0
008.jpg,Water,338.0
009.jpg,Bread,59.0
009.jpg,Cherry yogurt,125.0
009.jpg,Baked pasta with vegetables and cheese,124.0
009.jpg,Chicken cutlet,123.0
009.jpg,Baked potatoes,94.0
009.jpg,Water,338.0
010.jpg,Bread,58.0
010.jpg,Fruit yogurt,125.0
010.jpg,Vegetable soup,243.0
010.jpg,Vegetable meatballs with cheese sauce,110.0
010.jpg,Baked potatoes,157.0
010.jpg,Water,340.0
011.jpg,Vegetable Wrap,161.0
011.jpg,Mixed salad with purple cabbage,94.0
011.jpg,Peach,163.0
011.jpg,Spinach,110.0
011.jpg,Bread,54.0
012.jpg,Bread,59.0
012.jpg,Strawberry yogurt,125.0
012.jpg,Fried egg,40.0
012.jpg,Spinach,175.0
012.jpg,Roasted Potatoes,91.0
012.jpg,Water,340.0
013.jpg,Watermelon,187.0
013.jpg,Spinach,123.0
013.jpg,Breaded Fish,70.0
013.jpg,Spaghetti with Tomato Sauce,210.0
013.jpg,Water,340.0
014.jpg,Pasta with tomato sauce,157.0
014.jpg,Bread,56.0
014.jpg,Water,278.0
014.jpg,Mixed salad with radicchio and carrots,107.0
014.jpg,Fish cutlet,116.0
014.jpg,Strawberry yogurt,125.0
015.jpg,Peach,131.0
015.jpg,Vegetarian meatballs,105.0
015.jpg,Roasted cauliflowers,140.0
015.jpg,Fennel salad,128.0
015.jpg,Bread,54.0
015.jpg,Water,280.0
016.jpg,Mixed salad with radicchio and carrots,84.0
016.jpg,Hamburger,143.0
016.jpg,Baked potatoes,83.0
016.jpg,Bread,50.0
016.jpg,Peach,122.0
016.jpg,Water,280.0
017.jpg,White rice with oil,210.0
018.jpg,Pasta with tomatoes,143.0
018.jpg,Mixed salad with purple cabbage and carrots,114.0
018.jpg,Peach,139.0
018.jpg,Baked fish,83.0
018.jpg,Water,280.0
019.jpg,Breaded Fish,131.0
019.jpg,Bread,28.0
019.jpg,Orange,178.0
019.jpg,Baked courgettes and potatoes,120.0
019.jpg,Water,328.0
020.jpg,Boiled carrots,145.0
020.jpg,Barbecue chicken wings,155.0
020.jpg,Brussel sprouts,178.0
020.jpg,Apple,170.0
020.jpg,Water,250.0
021.jpg,Plums,127.0
021.jpg,Breaded fish,132.0
021.jpg,Brussels sprouts,138.0
021.jpg,Baked carrots and potatoes,161.0
021.jpg,Water,350.0
022.jpg,Green beans and carrots,108.0
022.jpg,Cous cous with fish,134.0
022.jpg,Roasted pumpkin,183.0
022.jpg,Wholemeal bread,36.0
022.jpg,Fruit yogurt,125.0
022.jpg,Water,350.0
023.jpg,"Pasta with tomato sauce, carrots and peas",256.0
023.jpg,Bread,62.0
023.jpg,Fruit yogurt,125.0
023.jpg,Legume and cheese burger with tomato on top,140.0
023.jpg,Cauliflower,100.0
023.jpg,Water,338.0
024.jpg,Pasta with vegetable sauce,240.0
024.jpg,Bread,51.0
024.jpg,Fruit yogurt,125.0
024.jpg,Vegetable meatballs with orange,150.0
024.jpg,Boiled carrots,91.0
024.jpg,Apple,132.0
024.jpg,Water,338.0
025.jpg,Pasta with tomato sauce,234.0
025.jpg,Bread,60.0
025.jpg,Pineapple yogurt,125.0
025.jpg,Plant-based hamburger,137.0
025.jpg,Chickpeas,102.0
026.jpg,Chicken nuggets,110.0
026.jpg,Baked potatoes,120.0
026.jpg,Bread,55.0
026.jpg,Water,330.0
026.jpg,Spinach,119.0
026.jpg,Apricots,94.0
027.jpg,Pasta with tomato sauce and parmesan,194.0
027.jpg,Bread,62.0
027.jpg,Cherry yogurt,125.0
027.jpg,Water,320.0
027.jpg,Spinach,161.0
027.jpg,Meatloaf,192.0
028.jpg,Pasta with tomato and eggplant,201.0
028.jpg,Crepes with mozzarella and spinach,160.0
028.jpg,Spinach,130.0
028.jpg,Bread,52.0
028.jpg,Water,310.0
029.jpg,Pasta with radicchio and parmesan,262.0
029.jpg,Bread,58.0
029.jpg,Apple,184.0
029.jpg,Baked courgettes and potatoes,134.0
029.jpg,Omelette with vegetables,122.0
029.jpg,Water,338.0
030.jpg,Coffee with milk,329.0
030.jpg,Cookies,62.0
031.jpg,Pasta with vegetable sauce,215.0
031.jpg,Bread,58.0
031.jpg,Banana,232.0
031.jpg,Baked ricotta with eggplant and courgettes,100.0
031.jpg,Boiled green beans,126.0
031.jpg,Water,338.0
032.jpg,"Gnocchi with cherry tomatoes, basil and parmesan",452.0
033.jpg,Spaghetti with tomato sauce,203.0
033.jpg,Vegetable burger with tomatoes,187.0
033.jpg,"Mixed roasted vegetables (potatoes, peas, eggplants, carrots)",90.0
033.jpg,Bread,60.0
033.jpg,Apple,161.0
033.jpg,Water,338.0
034.jpg,Pasta with tomato sauce and parmesan,176.0
034.jpg,Bread,59.0
034.jpg,Apple,172.0
034.jpg,Potato muffin,115.0
034.jpg,Fried egg,40.0
034.jpg,Spinach with parmesan,139.0
035.jpg,Pasta with tomatoes and parmesan,322.0
035.jpg,Bread,56.0
035.jpg,Vegetable burger with lentils,108.0
035.jpg,Boiled green beans,108.0
035.jpg,Watermelon,117.0
036.jpg,Baked pasta with tomatoes and mozzarella,210.0
036.jpg,Vegetable meatballs,102.0
036.jpg,"Mixed salad with purple cabbage, orange and cucumber",162.0
036.jpg,Bread,54.0
036.jpg,Caramelized pear,128.0
037.jpg,Spaghetti with tomato sauce and parmesan,300.0
037.jpg,Bread,56.0
037.jpg,Apple,205.0
037.jpg,Fried Egg,50.0
037.jpg,Bread crouton with spinach and ricotta cheese,73.0
037.jpg,Mixed salad with radicchio and carrots,92.0
037.jpg,Water,338.0
038.jpg,Pasta with pumpkin and parmesan,295.0
038.jpg,Bread,55.0
038.jpg,Banana,164.0
038.jpg,Water,338.0
038.jpg,Brussels sprouts,157.0
038.jpg,"Mixed salad with radicchio, carrots and cucumber",145.0
039.jpg,Pasta with tomato sauce,228.0
039.jpg,Apricots,129.0
039.jpg,Bread,56.0
039.jpg,Boiled spinach,143.0
039.jpg,Mackerel with cous cous,94.0
040.jpg,"Rice salad with peas, corn, cheese and pork",191.0
040.jpg,Bread,63.0
040.jpg,Apricots,122.0
040.jpg,Omelette with eggplants,199.0
040.jpg,Roasted carrots and potatoes,145.0
041.jpg,Pasta with tomato sauce and parmesan,208.0
041.jpg,Apricots,135.0
041.jpg,Bread,67.0
041.jpg,Mixed salad with cabbage and cucumber,124.0
041.jpg,Crepe with spinach and mozzarella cheese,166.0
041.jpg,Water,338.0
042.jpg,Pasta with tomatoes,199.0
042.jpg,Brussel sprouts,153.0
042.jpg,Vegetable meatballs with radicchio,109.0
042.jpg,Bread,63.0
042.jpg,Apricots,117.0
043.jpg,Pasta with tomato sauce and parmesan,210.0
043.jpg,Crouton with tomato sauce and mozzarella cheese,137.0
043.jpg,Boiled zucchini and potatoes,211.0
043.jpg,Bread,58.0
043.jpg,Peach yogurt,125.0
043.jpg,Water,338.0
044.jpg,Bread,58.0
044.jpg,Fruit yogurt,125.0
044.jpg,"Mixed salad with tomatoes, mozzarella, anchovies",110.0
044.jpg,Roasted potatoes,157.0
044.jpg,Water,320.0
045.jpg,Baked pasta with tomato sauce,152.0
045.jpg,"Mozzarella with cherry tomatoes, corn and green beans",114.0
045.jpg,Mixed salad with carrots,163.0
045.jpg,Bread,56.0
045.jpg,Fruit yogurt,125.0
046.jpg,Bread,58.0
046.jpg,Fruit yogurt,125.0
046.jpg,Vegetable soup with parmesan,245.0
046.jpg,Salad,127.0
046.jpg,Potato meatballs with radicchio,112.0
047.jpg,Pasta with cherry tomatoes,133.0
047.jpg,Bread,55.0
047.jpg,Water,334.0
047.jpg,Omelette,110.0
047.jpg,Green beans,96.0
047.jpg,Banana yogurt,125.0
048.jpg,Baked pasta with tomatoes,126.0
048.jpg,Veggie burger with eggplant and mozzarella,148.0
048.jpg,Roasted potatoes,110.0
048.jpg,Bread,56.0
048.jpg,Fruit yogurt,125.0
049.jpg,"Pasta with tuna, olives, tomatoes and mozzarella",486.0
050.jpg,Rice with zucchini and shrimps,297.0
051.jpg,"Savoury pie with carrots, zucchini, onions and cheese",145.0
052.jpg,Wholemeal pasta,203.0
052.jpg,Mackerel,76.0
052.jpg,Mixed salad with carrots and radicchio,72.0
052.jpg,Peach yogurt,125.0
052.jpg,Bread,47.0
052.jpg,Water,350.0
053.jpg,Pasta with tomatoes and vegetables,202.0
053.jpg,Green beans,128.0
053.jpg,Cod,92.0
053.jpg,Peach,108.0
053.jpg,Bread,47.0
053.jpg,Water,350.0
054.jpg,Pasta with vegetables,169.0
054.jpg,Bread,56.0
054.jpg,Fruit yogurt,125.0
054.jpg,Cauliflower,95.0
054.jpg,Mixed salad with cabbage and cucumber,115.0
054.jpg,Water,350.0
055.jpg,Breaded cod,139.0
055.jpg,"Mixed vegetables (mushrooms, potatoes, carrots, peas)",147.0
055.jpg,Spinach,155.0
055.jpg,Fruit yogurt,125.0
055.jpg,Water,350.0
056.jpg,Pasta with cherry tomatoes,251.0
056.jpg,Breaded fish,183.0
056.jpg,"Mixed vegetables (mushrooms, potatoes, carrots, peas)",132.0
056.jpg,Bread,51.0
056.jpg,Water,340.0
057.jpg,Pasta with basil and cherry tomatoes,239.0
057.jpg,Bread,55.0
057.jpg,Banana,221.0
057.jpg,Omelette with mushroom,79.0
057.jpg,Green beans,111.0
058.jpg,Pasta with butter and herbs,176.0
058.jpg,Omelette with onions,124.0
058.jpg,Roasted carrots,126.0
058.jpg,Bread,58.0
058.jpg,Peach,152.0
058.jpg,Water,338.0
059.jpg,Bread,54.0
059.jpg,Plums,105.0
059.jpg,Spinach,124.0
059.jpg,Veggie burger,110.0
059.jpg,Mixed salad with carrots and cucumbers,136.0
060.jpg,Pasta with cherry tomatoes,113.0
060.jpg,Vegetable meatballs,149.0
060.jpg,Roasted potatoes,110.0
060.jpg,Water,210.0
060.jpg,Fruit yogurt,125.0
061.jpg,Bread,58.0
061.jpg,Fruit yogurt,125.0
061.jpg,Red soup with parmesan,136.0
061.jpg,Omelette with onions,124.0
061.jpg,Baked potatoes,100.0
062.jpg,Bread,58.0
062.jpg,Banana yogurt,125.0
062.jpg,Pasta with cherry tomatoes,96.0
062.jpg,Veggie burger with ketchup,138.0
062.jpg,Spinach,156.0
062.jpg,Water,220.0
063.jpg,Baked pasta with tomato sauce,210.0
063.jpg,Bread,55.0
063.jpg,Ricotta with eggplant and courgette,73.0
063.jpg,Mixed salad with carrots and fennels,125.0
064.jpg,Pasta with tomatoes,91.0
064.jpg,Crepe with tomato and cheese,108.0
064.jpg,Baked potatoes,77.0
064.jpg,Fruit yogurt,125.0
064.jpg,Bread,53.0
065.jpg,Veggie burger,111.0
065.jpg,Water,290.0
065.jpg,Roasted potatoes,108.0
065.jpg,Salad with balsamic vinegar,60.0
065.jpg,Bread,56.0
065.jpg,Strawberry yogurt,125.0
066.jpg,Tuna and white beans,332.0
067.jpg,Flat bread with vegetables and tomatoes,276.0
068.jpg,"Pasta with carrots, olives, tomatoes, tuna and cooked ham",338.0
069.jpg,Sausage and bell peppers,197.0
070.jpg,Pasta with chickpeas,339.0
071.jpg,Flavoured crackers,39.0
072.jpg,Lentils with carrots,187.0
072.jpg,Breaded fish,117.0
072.jpg,Carrots,101.0
072.jpg,Fruit yogurt,125.0
072.jpg,Water,335.0
073.jpg,Bread,56.0
073.jpg,Water,323.0
073.jpg,Fruit yogurt,125.0
073.jpg,Pasta with cherry tomatoes,155.0
073.jpg,Fish filet,208.0
073.jpg,Roasted brussel sprouts,125.0
074.jpg,Pasta with cherry tomatoes,164.0
074.jpg,Green beans,117.0
074.jpg,Boiled pumpkin,101.0
074.jpg,Water,335.0
074.jpg,Bread,58.0
075.jpg,Veal with tuna sauce,199.0
075.jpg,Beans with tomato sauce,199.0
075.jpg,Boiled courgettes and potatoes,165.0
075.jpg,Water,338.0
075.jpg,Bread,55.0
076.jpg,Pasta with vegetables and cherry tomatoes,202.0
076.jpg,Bread,56.0
076.jpg,Cous cous with vegetables and chickpeas,88.0
076.jpg,Ricotta cheese with eggplant,109.0
076.jpg,Plums,147.0
077.jpg,Beans with celery,88.0
077.jpg,Baked fish fillet,109.0
077.jpg,Baked broccoli and potatoes,104.0
077.jpg,Bread,57.0
077.jpg,Plums,184.0
078.jpg,Red soup with parmesan,229.0
078.jpg,Vegetable burger,95.0
078.jpg,Boiled pumpkin,129.0
078.jpg,Bread,57.0
078.jpg,Apricots,129.0
079.jpg,Baked pasta with tomato sauce and parmesan,236.0
079.jpg,Bread,56.0
079.jpg,Canned beans,114.0
079.jpg,Spinach quiche,206.0
079.jpg,Plums,192.0
080.jpg,Rice salad with tuna and pickles,128.0
080.jpg,Bread,50.0
080.jpg,Roasted potatoes,54.0
080.jpg,Omelette with mushroom,116.0
080.jpg,Mayonnaise,10.0
080.jpg,Fruit yogurt,125.0
081.jpg,Boiled spinach,109.0
081.jpg,Meatballs with tomato sauce,64.0
081.jpg,Mashed potatoes,161.0
081.jpg,Bread,50.0
081.jpg,Strawberry yogurt,125.0
081.jpg,Water,254.0
082.jpg,Radicchio and fennel salad,171.0
082.jpg,Boiled spinach,188.0
082.jpg,Baked pasta with vegetables,234.0
082.jpg,Fruit yogurt,125.0
082.jpg,Bread,53.0
083.jpg,Cous cous with vegetables and chickpeas,159.0
083.jpg,Roasted potatoes,94.0
083.jpg,Ricotta with eggplant,102.0
083.jpg,Bread,57.0
083.jpg,Strawberry yogurt,125.0
084.jpg,Potatoes and broccoli,171.0
084.jpg,"Potatoes, carrots, and peas",150.0
084.jpg,Breaded pork cutlet,160.0
084.jpg,Bread,40.0
084.jpg,Fruit yogurt,125.0
085.jpg,Red soup with parmesan,205.0
085.jpg,Vegetable meatballs with cheese,91.0
085.jpg,Spinach,98.0
085.jpg,Bread,59.0
085.jpg,Apple,170.0
086.jpg,Pasta with zucchini,221.0
086.jpg,Mackerel,83.0
086.jpg,Boiled cauliflower,134.0
086.jpg,Plums,89.0
086.jpg,Bread,58.0
087.jpg,White pasta,263.0
087.jpg,Vegetable meatballs with radicchio,119.0
087.jpg,Roasted green beans with breadcrumbs,96.0
087.jpg,Bread,57.0
087.jpg,Peach,168.0
088.jpg,Whole pasta with pesto and parmesan,198.0
088.jpg,Barley with peas,99.0
088.jpg,Omelette with vegetables,118.0
088.jpg,Bread,59.0
088.jpg,Banana,126.0
089.jpg,White rice with oil and parmesan,236.0
089.jpg,Baked fish fillet,64.0
089.jpg,Chickpeas,135.0
089.jpg,Apple,179.0
089.jpg,Bread,60.0
090.jpg,White rice with oil and parmesan,213.0
090.jpg,Boiled carrots and potatoes,166.0
090.jpg,Boiled cauliflowers with potatoes and spinach,127.0
090.jpg,Apple,179.0
090.jpg,Bread,57.0
091.jpg,Bread,58.0
091.jpg,Fruit yogurt,125.0
091.jpg,Vegetable soup with parmesan,244.0
091.jpg,Caesar Salad,127.0
091.jpg,Spinach,220.0
091.jpg,Water,290.0
092.jpg,Bread,58.0
092.jpg,Banana,132.0
092.jpg,Vegetable soup with parmesan,217.0
092.jpg,Vegetable meatballs with radicchio,116.0
092.jpg,Baked potatoes,112.0
093.jpg,Pasta with tomato sauce,181.0
093.jpg,Baked fish fillet,110.0
093.jpg,Chickpeas,83.0
093.jpg,Bread,51.0
093.jpg,White yogurt,125.0
094.jpg,Flatbread with cheese and tomatoes,193.0
095.jpg,"Soup with beans, tomato sauce and sausages",426.0
096.jpg,Sweet snacks with chocolate,56.0
096.jpg,Pear juice,200.0
097.jpg,Soup with oil,186.0
098.jpg,Omelette with cheese,110.0
099.jpg,Chinese dumplings,261.0
100.jpg,Bread,59.0
100.jpg,Pasta with tomato sauce,179.0
100.jpg,boiled courgettes and potatoes,107.0
101.jpg,Bread,59.0
101.jpg,Fruit yogurt,125.0
101.jpg,Pasta with creamy sauce,187.0
101.jpg,Boiled cauliflowers,130.0
101.jpg,Quiche with lemon,210.0
102.jpg,Bread,47.0
102.jpg,Fruit yogurt,125.0
102.jpg,Baked pasta,183.0
102.jpg,Burger,160.0
102.jpg,Baked potatoes,112.0
103.jpg,Vegetable soup with parmesan,215.0
103.jpg,Bread,59.0
103.jpg,Strawberry yogurt,125.0
103.jpg,Cooked ham,105.0
103.jpg,Boiled broccoli,126.0
104.jpg,Bread,49.0
104.jpg,Apricot yogurt,125.0
104.jpg,Legume soup with parmesan,262.0
104.jpg,Boiled peas and carrots,157.0
105.jpg,Mixed salad,81.0
105.jpg,Falafel,78.0
106.jpg,Tomato soup,423.0
107.jpg,Omelette,224.0
108.jpg,Ravioli with tomato sauce,233.0
109.jpg,White rice with oil and parmesan,174.0
109.jpg,green beans,96.0
109.jpg,boiled potatoes,157.0
109.jpg,Bread,50.0
109.jpg,Apple,190.0
110.jpg,Vegetable soup with parmesan,453.0
110.jpg,Peas and carrots,146.0
110.jpg,Plums,101.0
110.jpg,Quiche with spinach,93.0
110.jpg,Bread,50.0
111.jpg,Pasta with creamy sauce,255.0
111.jpg,Banana,191.0
111.jpg,Bread,55.0
111.jpg,Boiled cauliflower,126.0
111.jpg,Burger with rd sauce,107.0
112.jpg,Pasta with pesto and parmesan,222.0
112.jpg,Plums,130.0
112.jpg,Quiche,191.0
112.jpg,Bread,60.0
112.jpg,Brussel sprouts,123.0
113.jpg,Legume soup with parmesan,308.0
113.jpg,Plums,161.0
113.jpg,Boiled brussel sprouts and carrots,226.0
113.jpg,Bread,59.0
113.jpg,Omelette,131.0
114.jpg,Bread,69.0
114.jpg,Cherry yogurt,125.0
114.jpg,Pasta with tomato sauce and parmesan,233.0
114.jpg,Pork cutlet,120.0
114.jpg,Baked potatoes,154.0
115.jpg,Bread,34.0
115.jpg,Grapes,113.0
115.jpg,Pasta with saffron and parmesan,202.0
115.jpg,Meatballs in tomato sauce,183.0
115.jpg,Mixed salad,264.0
116.jpg,Vegetable soup with parmesan,232.0
116.jpg,Bread,78.0
116.jpg,Quiche with spinach,142.0
116.jpg,Boiled cauliflowers,169.0
116.jpg,Cherry yogurt,125.0
117.jpg,Vegetable soup with parmesan,217.0
117.jpg,Bread,57.0
117.jpg,Strawberry yogurt,125.0
117.jpg,Roasted cauliflowers,70.0
117.jpg,Vegetable meatballs with ham,172.0
118.jpg,Pasta with tomato sauce and parmesan,214.0
118.jpg,Strawberry yogurt,125.0
118.jpg,vegetable burger with tomato sauce and cheese,110.0
118.jpg,Baked potatoes,95.0
119.jpg,Gnocchi with tomato sauce and parmesan,213.0
119.jpg,Bread,49.0
119.jpg,Lentils,219.0
119.jpg,Cherry yogurt,125.0
119.jpg,Water,230.0
120.jpg,Bread,38.0
120.jpg,Apricot yogurt,125.0
120.jpg,Vegetable soup with parmesan,262.0
120.jpg,Pork cutlet,157.0
120.jpg,Boiled cauliflowers,104.0
121.jpg,Bread,71.0
121.jpg,Pasta with mushrooms and parmesan,201.0
