image,food,portion
/data/upload/4/9037fc8a-001.jpg,Vegetable soup,266.0
/data/upload/4/9037fc8a-001.jpg,Bread,58.0
/data/upload/4/9037fc8a-001.jpg,Fruit yogurt,125.0
/data/upload/4/9037fc8a-001.jpg,Legume and cheese burger with tomato on top,145.0
/data/upload/4/9037fc8a-001.jpg,Cauliflower,90.0
/data/upload/4/9037fc8a-001.jpg,Water,338.0
/data/upload/4/2ae3e22a-002.jpg,"Mixed salad with tomatoes, cucumbers, radicchio",160.0
/data/upload/4/17a18c1f-003.jpg,Bread,58.0
/data/upload/4/17a18c1f-003.jpg,Pasta with tomatoes,151.0
/data/upload/4/17a18c1f-003.jpg,Broccoli,161.0
/data/upload/4/17a18c1f-003.jpg,Ricotta with vegetables (courgette and eggplant),110.0
/data/upload/4/17a18c1f-003.jpg,Water,338.0
/data/upload/4/fd742a64-004.jpg,Bread,59.0
/data/upload/4/fd742a64-004.jpg,"Mixed salad with lettuce, tomatoes, tuna, black olives and mozzarella",232.0
/data/upload/4/fd742a64-004.jpg,Banana,116.0
/data/upload/4/f6f35ef8-005.jpg,Bread,58.0
/data/upload/4/f6f35ef8-005.jpg,Fruit yogurt,125.0
/data/upload/4/f6f35ef8-005.jpg,Pumpkin soup,241.0
/data/upload/4/f6f35ef8-005.jpg,Baked potatoes,120.0
/data/upload/4/f6f35ef8-005.jpg,Chicken nuggets,110.0
/data/upload/4/4203a6fc-006.jpg,Bread,58.0
/data/upload/4/4203a6fc-006.jpg,Fruit yogurt,125.0
/data/upload/4/4203a6fc-006.jpg,Pasta with peas,204.0
/data/upload/4/4203a6fc-006.jpg,Zucchini,117.0
/data/upload/4/4203a6fc-006.jpg,Potato cake with egg,183.0
/data/upload/4/4203a6fc-006.jpg,Water,338.0
/data/upload/4/25b36b8a-007.jpg,Bread,55.0
/data/upload/4/25b36b8a-007.jpg,Fruit yogurt,125.0
/data/upload/4/25b36b8a-007.jpg,Chickpea soup,201.0
